"Segment Name","Segment Type","Start Time (UTCG)","Stop Time (UTCG)"
"Initial_State","InitialState",8 Dec 2021 04:00:00.000,8 Dec 2021 04:00:00.000
"Propagate","Propagate",8 Dec 2021 04:00:00.000,8 Dec 2021 16:00:00.000
"Get_into_initial_intrack_displacement.Burn1","Maneuver:Finite",8 Dec 2021 16:00:00.000,8 Dec 2021 16:00:42.554
"Get_into_initial_intrack_displacement.Drift","Propagate",8 Dec 2021 16:00:42.554,22 Dec 2021 16:00:42.554
"Second_burn_to_return_to_original_plane.Burn2","Maneuver:Finite",22 Dec 2021 16:00:42.554,22 Dec 2021 16:01:31.564
"5_orbits7","Propagate",22 Dec 2021 16:01:31.564,22 Dec 2021 23:59:27.564
"Wait_until_next_apoapsis","Propagate",22 Dec 2021 23:59:27.564,23 Dec 2021 00:34:28.965
"1st_RAAN_shift.Burn","Maneuver:Finite",23 Dec 2021 00:34:28.965,23 Dec 2021 00:36:31.637
"5_orbits","Propagate",23 Dec 2021 00:36:31.637,23 Dec 2021 08:34:27.637
"Wait_until_next_apoapsis1","Propagate",23 Dec 2021 08:34:27.637,23 Dec 2021 10:07:16.147
"2nd_RAAN_shift.Burn","Maneuver:Finite",23 Dec 2021 10:07:16.147,23 Dec 2021 10:10:47.459
"5_orbits1","Propagate",23 Dec 2021 10:10:47.459,23 Dec 2021 18:08:43.459
"Wait_until_next_apoapsis2","Propagate",23 Dec 2021 18:08:43.459,23 Dec 2021 19:40:02.857
"3rd_RAAN_shift.Burn","Maneuver:Finite",23 Dec 2021 19:40:02.857,23 Dec 2021 19:43:21.098
"5_orbits2","Propagate",23 Dec 2021 19:43:21.098,24 Dec 2021 03:41:17.098
"Wait_until_next_apoapsis3","Propagate",24 Dec 2021 03:41:17.098,24 Dec 2021 05:12:49.071
"4th_RAAN_shift.Burn","Maneuver:Finite",24 Dec 2021 05:12:49.071,24 Dec 2021 05:14:43.531
"5_orbits3","Propagate",24 Dec 2021 05:14:43.531,24 Dec 2021 13:12:39.531
"Wait_until_next_apoapsis4","Propagate",24 Dec 2021 13:12:39.531,24 Dec 2021 14:45:34.813
"5th_RAAN_shift.Burn","Maneuver:Finite",24 Dec 2021 14:45:34.813,24 Dec 2021 14:48:25.772
"5_orbits5","Propagate",24 Dec 2021 14:48:25.772,24 Dec 2021 22:46:21.772
"Wait_until_next_apoapsis5","Propagate",24 Dec 2021 22:46:21.772,25 Dec 2021 00:18:20.138
"6th_RAAN_shift.Burn","Maneuver:Finite",25 Dec 2021 00:18:20.138,25 Dec 2021 00:20:41.327
"5_orbits4","Propagate",25 Dec 2021 00:20:41.327,25 Dec 2021 08:18:37.327
"Wait_until_next_apoapsis6","Propagate",25 Dec 2021 08:18:37.327,25 Dec 2021 09:51:05.044
"7th_RAAN_shift.Burn","Maneuver:Finite",25 Dec 2021 09:51:05.044,25 Dec 2021 09:53:44.822
"5_orbits6","Propagate",25 Dec 2021 09:53:44.822,25 Dec 2021 17:51:40.822
"Wait_until_next_apoapsis7","Propagate",25 Dec 2021 17:51:40.822,25 Dec 2021 19:23:49.632
"8th_RAAN_shift.Burn","Maneuver:Finite",25 Dec 2021 19:23:49.632,25 Dec 2021 19:27:05.101
"Propagate1","Propagate",25 Dec 2021 19:27:05.101,14 Jan 2022 19:27:05.101

