Maneuver Number,Segment,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Delta V (m/sec),Fuel Used (kg),Thruster/Engine,Thrust x,Thrust y ,Thrust z
1,Get_into_initial_intrack_displacement.Burn1,00:00.0,00:42.6,42.554,1.730149,0.015,Lumelite_Engine,-1.47655,-0.554224,-1.52616
2,Second_burn_to_return_to_original_plane.Burn2,00:42.6,01:31.6,49.011,1.994397,0.017,Lumelite_Engine,0.970519,0.260151,0.0989902
3,1st_RAAN_shift.Burn,37:09.3,39:12.0,122.672,5,0.043,Lumelite_Engine,0,0,-1
4,2nd_RAAN_shift.Burn,12:37.3,16:08.6,211.312,8.640172,0.074,Lumelite_Engine,0,0,-1
5,3rd_RAAN_shift.Burn,48:05.2,51:23.5,198.241,8.1373,0.07,Lumelite_Engine,0,0,-1
6,4th_RAAN_shift.Burn,23:33.2,25:27.6,114.461,4.712344,0.04,Lumelite_Engine,0,0,-1
7,5th_RAAN_shift.Burn,59:01.1,01:52.1,170.96,7.057624,0.06,Lumelite_Engine,0,0,-1
8,6th_RAAN_shift.Burn,34:29.0,36:50.2,141.189,5.846062,0.05,Lumelite_Engine,0,0,-1
9,7th_RAAN_shift.Burn,09:56.9,12:36.7,159.777,6.634901,0.056,Lumelite_Engine,0,0,-1
10,8th_RAAN_shift.Burn,45:24.8,48:40.3,195.469,8.144886,0.069,Lumelite_Engine,0,0,-1
