Year,Month,Day,Hour,Min,Sec,Maneuver,Delta-v (m/s)
2020,1,15,9,40,0,S,0.04
2020,1,17,20,20,0,M,0.0377
2020,1,22,0,35,0,S,0.0608
2020,1,23,6,40,0,M,0.04
2020,2,14,16,5,0,C,0.1155
2020,2,16,3,0,0,M,0.104
2020,3,4,1,25,0,S,0.0389
2020,3,6,16,55,0,M,0.0309
2020,4,28,23,30,0,C,0.1194
2020,4,30,8,50,0,M,0.1075
2020,5,5,19,20,0,S,0.0606
2020,5,6,22,0,0,M,0.0617
2020,5,12,11,20,0,S,0.0539
2020,5,13,19,5,0,M,0.032
2020,5,25,9,0,0,C,0.1146
2020,5,26,16,45,0,M,0.0915
2020,5,30,20,45,0,S,0.0508
2020,6,1,9,20,0,M,0.024
2020,6,10,1,30,0,C,0.1146
2020,6,11,9,15,0,M,0.0915
2020,6,17,8,0,0,S,0.0492
2020,6,18,18,45,0,M,0.0492
2020,6,25,12,40,0,S,0.0595
2020,6,26,15,35,0,M,0.0355
2020,7,4,23,40,0,C,0.1175
2020,7,6,5,45,0,M,0.0904
